temperature,ref,u,error
19.25,26.00,100,6.7500
19.27,26.00,100,6.7300
19.27,26.00,100,6.7300
19.28,26.00,100,6.7200
19.27,26.00,100,6.7300
19.29,26.00,100,6.7100
19.29,26.00,100,6.7100
19.29,26.00,100,6.7100
19.31,26.00,100,6.6900
19.37,26.00,100,6.6300
19.44,26.00,100,6.5600
19.53,26.00,100,6.4700
19.64,26.00,100,6.3600
19.73,26.00,100,6.2700
19.84,26.00,100,6.1600
19.96,26.00,100,6.0400
20.06,26.00,100,5.9400
20.18,26.00,100,5.8200
20.30,26.00,100,5.7000
20.41,26.00,100,5.5900
20.52,26.00,100,5.4800
20.63,26.00,100,5.3700
20.75,26.00,100,5.2500
20.86,26.00,100,5.1400
20.98,26.00,100,5.0200
21.09,26.00,100,4.9100
21.21,26.00,100,4.7900
21.32,26.00,100,4.6800
21.44,26.00,100,4.5600
21.56,26.00,100,4.4400
21.69,26.00,100,4.3100
21.80,26.00,100,4.2000
21.92,26.00,100,4.0800
22.03,26.00,100,3.9700
22.16,26.00,100,3.8400
22.28,26.00,100,3.7200
22.41,26.00,100,3.5900
22.53,26.00,100,3.4700
22.65,26.00,100,3.3500
22.77,26.00,100,3.2300
22.89,26.00,100,3.1100
23.01,26.00,100,2.9900
23.15,26.00,100,2.8500
23.27,26.00,100,2.7300
23.40,26.00,100,2.6000
23.53,26.00,100,2.4700
23.64,26.00,100,2.3600
23.75,26.00,100,2.2500
23.88,26.00,100,2.1200
24.01,26.00,100,1.9900
24.14,26.00,100,1.8600
24.24,26.00,100,1.7600
24.37,26.00,100,1.6300
24.49,26.00,100,1.5100
24.61,26.00,100,1.3900
24.73,26.00,100,1.2700
24.84,26.00,100,1.1600
24.96,26.00,100,1.0400
25.08,26.00,100,0.9200
25.19,26.00,100,0.8100
25.30,26.00,100,0.7000
25.41,26.00,100,0.5900
25.53,26.00,100,0.4700
25.64,26.00,100,0.3600
25.72,26.00,100,0.2800
25.80,26.00,100,0.2000
25.88,26.00,100,0.1200
25.95,26.00,100,0.0500
26.01,26.00,100,0.0100
26.04,26.00,100,0.0400
26.08,26.00,100,0.0800
26.11,26.00,100,0.1100
26.13,26.00,100,0.1300
26.15,26.00,100,0.1500
26.15,26.00,100,0.1500
26.17,26.00,100,0.1700
26.17,26.00,100,0.1700
26.19,26.00,100,0.1900
26.21,26.00,100,0.2100
26.22,26.00,100,0.2200
26.22,26.00,100,0.2200
26.23,26.00,100,0.2300
26.23,26.00,100,0.2300
26.24,26.00,100,0.2400
26.24,26.00,100,0.2400
26.24,26.00,100,0.2400
26.25,26.00,100,0.2500
26.25,26.00,100,0.2500
26.25,26.00,100,0.2500
26.26,26.00,100,0.2600
26.25,26.00,100,0.2500
26.25,26.00,100,0.2500
26.25,26.00,100,0.2500
26.25,26.00,100,0.2500
26.24,26.00,100,0.2400
26.24,26.00,100,0.2400
26.25,26.00,100,0.2500
26.24,26.00,100,0.2400
26.22,26.00,100,0.2200
26.22,26.00,100,0.2200
26.23,26.00,100,0.2300
26.21,26.00,100,0.2100
26.21,26.00,100,0.2100
26.21,26.00,100,0.2100
26.18,26.00,100,0.1800
26.17,26.00,100,0.1700
26.18,26.00,100,0.1800
26.16,26.00,100,0.1600
26.15,26.00,100,0.1500
26.14,26.00,100,0.1400
26.13,26.00,100,0.1300
26.12,26.00,100,0.1200
26.11,26.00,100,0.1100
26.10,26.00,100,0.1000
26.09,26.00,100,0.0900
26.06,26.00,100,0.0600
26.05,26.00,100,0.0500
26.04,26.00,100,0.0400
26.02,26.00,100,0.0200
26.00,26.00,0,0.0000
25.99,26.00,100,0.0100
25.97,26.00,100,0.0300
25.95,26.00,100,0.0500
25.93,26.00,100,0.0700
25.91,26.00,100,0.0900
25.89,26.00,100,0.1100
25.87,26.00,100,0.1300
25.85,26.00,100,0.1500
25.84,26.00,100,0.1600
25.83,26.00,100,0.1700
25.80,26.00,100,0.2000
25.79,26.00,100,0.2100
25.77,26.00,100,0.2300
25.75,26.00,100,0.2500
25.78,26.00,100,0.2200
25.81,26.00,100,0.1900
25.87,26.00,100,0.1300
25.96,26.00,100,0.0400
26.03,26.00,100,0.0300
26.12,26.00,100,0.1200
26.19,26.00,100,0.1900
26.26,26.00,100,0.2600
26.29,26.00,100,0.2900
26.30,26.00,100,0.3000
26.30,26.00,100,0.3000
26.32,26.00,100,0.3200
26.35,26.00,100,0.3500
26.42,26.00,100,0.4200
26.49,26.00,100,0.4900
26.57,26.00,100,0.5700
26.64,26.00,100,0.6400
26.70,26.00,100,0.7000
26.74,26.00,100,0.7400
26.77,26.00,100,0.7700
26.77,26.00,100,0.7700
26.76,26.00,100,0.7600
26.76,26.00,100,0.7600
26.74,26.00,100,0.7400
26.73,26.00,100,0.7300
26.71,26.00,100,0.7100
26.26,26.00,100,0.2600
26.41,26.00,100,0.4100
26.44,26.00,100,0.4400
26.43,26.00,100,0.4300
26.43,26.00,100,0.4300
26.42,26.00,100,0.4200
26.41,26.00,100,0.4100
26.40,26.00,100,0.4000
26.39,26.00,100,0.3900
26.38,26.00,100,0.3800
26.36,26.00,100,0.3600
26.34,26.00,100,0.3400
26.33,26.00,100,0.3300
26.32,26.00,100,0.3200
26.31,26.00,100,0.3100
26.29,26.00,100,0.2900
26.28,26.00,100,0.2800
26.27,26.00,100,0.2700
26.25,26.00,100,0.2500
26.23,26.00,100,0.2300
26.22,26.00,100,0.2200
26.20,26.00,100,0.2000
26.18,26.00,100,0.1800
26.17,26.00,100,0.1700
26.16,26.00,100,0.1600
26.14,26.00,100,0.1400
26.12,26.00,100,0.1200
26.10,26.00,100,0.1000
26.09,26.00,100,0.0900
26.07,26.00,100,0.0700
26.05,26.00,100,0.0500
26.03,26.00,100,0.0300
26.01,26.00,100,0.0100
25.99,26.00,100,0.0100
25.97,26.00,100,0.0300
25.96,26.00,100,0.0400
25.94,26.00,100,0.0600
25.90,26.00,100,0.1000
25.89,26.00,100,0.1100
25.87,26.00,100,0.1300
25.85,26.00,100,0.1500
25.83,26.00,100,0.1700
25.81,26.00,100,0.1900
25.79,26.00,100,0.2100
25.80,26.00,100,0.2000
25.85,26.00,100,0.1500
25.91,26.00,100,0.0900
25.98,26.00,100,0.0200
26.07,26.00,100,0.0700
26.11,26.00,100,0.1100
26.13,26.00,100,0.1300
26.14,26.00,100,0.1400
26.13,26.00,100,0.1300
26.11,26.00,100,0.1100
26.10,26.00,100,0.1000
26.08,26.00,100,0.0800
26.08,26.00,100,0.0800
26.06,26.00,100,0.0600
26.04,26.00,100,0.0400
26.02,26.00,100,0.0200
26.00,35.00,0,9.0000
25.98,35.00,100,9.0200
25.98,35.00,100,9.0200
25.99,35.00,100,9.0100
26.03,35.00,100,8.9700
26.11,35.00,100,8.8900
26.18,35.00,100,8.8200
26.26,35.00,100,8.7400
26.35,35.00,100,8.6500
26.43,35.00,100,8.5700
26.52,35.00,100,8.4800
26.61,35.00,100,8.3900
26.69,35.00,100,8.3100
26.79,35.00,100,8.2100
26.87,35.00,100,8.1300
26.97,35.00,100,8.0300
27.06,35.00,100,7.9400
27.17,35.00,100,7.8300
27.24,35.00,100,7.7600
27.35,35.00,100,7.6500
27.44,35.00,100,7.5600
27.54,35.00,100,7.4600
27.63,35.00,100,7.3700
27.73,35.00,100,7.2700
27.82,35.00,100,7.1800
27.91,35.00,100,7.0900
28.02,35.00,100,6.9800
28.11,35.00,100,6.8900
28.20,35.00,100,6.8000
28.29,35.00,100,6.7100
28.40,35.00,100,6.6000
28.49,35.00,100,6.5100
28.59,35.00,100,6.4100
28.70,35.00,100,6.3000
28.79,35.00,100,6.2100
28.88,35.00,100,6.1200
29.00,35.00,100,6.0000
29.09,35.00,100,5.9100
29.18,35.00,100,5.8200
29.29,35.00,100,5.7100
29.38,35.00,100,5.6200
29.48,35.00,100,5.5200
29.59,35.00,100,5.4100
29.69,35.00,100,5.3100
29.77,35.00,100,5.2300
29.89,35.00,100,5.1100
29.99,35.00,100,5.0100
30.10,35.00,100,4.9000
30.19,35.00,100,4.8100
30.29,35.00,100,4.7100
30.39,35.00,100,4.6100
30.49,35.00,100,4.5100
30.59,35.00,100,4.4100
30.68,35.00,100,4.3200
30.78,35.00,100,4.2200
30.88,35.00,100,4.1200
30.99,35.00,100,4.0100
31.09,35.00,100,3.9100
31.19,35.00,100,3.8100
31.29,35.00,100,3.7100
31.38,35.00,100,3.6200
31.48,35.00,100,3.5200
31.59,35.00,100,3.4100
31.68,35.00,100,3.3200
31.79,35.00,100,3.2100
31.88,35.00,100,3.1200
31.99,35.00,100,3.0100
32.08,35.00,100,2.9200
32.19,35.00,100,2.8100
32.28,35.00,100,2.7200
32.38,35.00,100,2.6200
32.48,35.00,100,2.5200
32.58,35.00,100,2.4200
32.68,35.00,100,2.3200
32.77,35.00,100,2.2300
32.87,35.00,100,2.1300
32.98,35.00,100,2.0200
33.06,35.00,100,1.9400
33.16,35.00,100,1.8400
33.26,35.00,100,1.7400
33.34,35.00,100,1.6600
33.43,35.00,100,1.5700
33.47,35.00,100,1.5300
33.52,35.00,100,1.4800
33.56,35.00,100,1.4400
33.58,35.00,100,1.4200
33.59,35.00,100,1.4100
33.60,35.00,100,1.4000
33.62,35.00,100,1.3800
33.66,35.00,100,1.3400
33.71,35.00,100,1.2900
33.74,35.00,100,1.2600
33.77,35.00,100,1.2300
33.77,35.00,100,1.2300
33.76,35.00,100,1.2400
33.80,35.00,100,1.2000
33.84,35.00,100,1.1600
33.91,35.00,100,1.0900
33.97,35.00,100,1.0300
34.02,35.00,100,0.9800
34.04,35.00,100,0.9600
34.04,35.00,100,0.9600
34.03,35.00,100,0.9700
34.01,35.00,100,0.9900
34.00,35.00,100,1.0000
34.02,35.00,100,0.9800
34.06,35.00,100,0.9400
34.12,35.00,100,0.8800
34.18,35.00,100,0.8200
34.22,35.00,100,0.7800
34.24,35.00,100,0.7600
34.24,35.00,100,0.7600
34.24,35.00,100,0.7600
34.21,35.00,100,0.7900
34.22,35.00,100,0.7800
34.26,35.00,100,0.7400
34.30,35.00,100,0.7000
34.33,35.00,100,0.6700
34.33,35.00,100,0.6700
34.32,35.00,100,0.6800
34.31,35.00,100,0.6900
34.29,35.00,100,0.7100
34.27,35.00,100,0.7300
34.24,35.00,100,0.7600
34.21,35.00,100,0.7900
34.21,35.00,100,0.7900
34.23,35.00,100,0.7700
34.27,35.00,100,0.7300
34.30,35.00,100,0.7000
34.30,35.00,100,0.7000
34.30,35.00,100,0.7000
34.27,35.00,100,0.7300
34.25,35.00,100,0.7500
34.22,35.00,100,0.7800
34.20,35.00,100,0.8000
34.18,35.00,100,0.8200
34.22,35.00,100,0.7800
34.27,35.00,100,0.7300
34.31,35.00,100,0.6900
34.36,35.00,100,0.6400
34.43,35.00,100,0.5700
34.48,35.00,100,0.5200
34.57,35.00,100,0.4300
34.63,35.00,100,0.3700
34.70,35.00,100,0.3000
34.77,35.00,100,0.2300
34.82,35.00,100,0.1800
34.84,35.00,100,0.1600
34.84,35.00,100,0.1600
34.83,35.00,100,0.1700
34.86,35.00,100,0.1400
34.85,35.00,100,0.1500
34.84,35.00,100,0.1600
34.82,35.00,100,0.1800
34.79,35.00,100,0.2100
34.77,35.00,100,0.2300
34.77,35.00,100,0.2300
34.78,35.00,100,0.2200
34.84,35.00,100,0.1600
34.88,35.00,100,0.1200
34.91,35.00,100,0.0900
34.91,35.00,100,0.0900
34.89,35.00,100,0.1100
34.89,35.00,100,0.1100
34.92,35.00,100,0.0800
34.93,35.00,100,0.0700
34.93,35.00,100,0.0700
34.92,35.00,100,0.0800
34.90,35.00,100,0.1000
34.91,35.00,100,0.0900
34.92,35.00,100,0.0800
34.92,35.00,100,0.0800
34.91,35.00,100,0.0900
34.88,35.00,100,0.1200
34.85,35.00,100,0.1500
34.87,35.00,100,0.1300
34.90,35.00,100,0.1000
34.95,35.00,100,0.0500
35.00,35.00,0,0.0000
35.01,35.00,100,0.0100
34.99,35.00,100,0.0100
34.99,35.00,100,0.0100
34.98,35.00,100,0.0200
35.00,35.00,0,0.0000
35.05,35.00,100,0.0500
35.10,35.00,100,0.1000
35.16,35.00,100,0.1600
35.22,35.00,100,0.2200
35.24,35.00,100,0.2400
35.24,35.00,100,0.2400
35.22,35.00,100,0.2200
35.21,35.00,100,0.2100
35.21,35.00,100,0.2100
35.21,35.00,100,0.2100
35.21,35.00,100,0.2100
35.17,35.00,100,0.1700
35.15,35.00,100,0.1500
35.13,35.00,100,0.1300
35.08,35.00,100,0.0800
35.03,35.00,100,0.0300
34.99,35.00,100,0.0100
34.96,35.00,100,0.0400
34.91,35.00,100,0.0900
34.88,35.00,100,0.1200
34.83,35.00,100,0.1700
34.79,35.00,100,0.2100
34.75,35.00,100,0.2500
34.70,35.00,100,0.3000
34.65,35.00,100,0.3500
34.62,35.00,100,0.3800
34.56,35.00,100,0.4400
